MethodOrder,Method,MethodLabel,MetricGroup,Status,Reason
7,FSPAE,FSP-AE,Secondary validation,AVAILABLE,Existing frozen evidence
7,FSPAE,FSP-AE,Deferred validation,AVAILABLE,Existing frozen evidence
7,FSPAE,FSP-AE,Mechanism validation,NOT APPLICABLE,No common bounded-gate/correction internal quantity
7,FSPAE,FSP-AE,Efficiency validation,NOT AVAILABLE,No frozen same-hardware benchmark
7,FSPAE,FSP-AE,Model-based localization,NOT RUN,Frozen official dependency unavailable
8,RANF,RANF,Primary validation,AVAILABLE,Existing frozen evidence
8,RANF,RANF,Primary frozen engineering test,AVAILABLE,Existing frozen evidence
8,RANF,RANF,Secondary validation,AVAILABLE,Existing frozen evidence
8,RANF,RANF,Deferred validation,AVAILABLE,Existing frozen evidence
8,RANF,RANF,Mechanism validation,NOT APPLICABLE,No common bounded-gate/correction internal quantity
8,RANF,RANF,Efficiency validation,NOT AVAILABLE,No frozen same-hardware benchmark
8,RANF,RANF,Model-based localization,NOT RUN,Frozen official dependency unavailable
9,HYBRID,Hybrid E190,Primary validation,AVAILABLE,Existing frozen evidence
9,HYBRID,Hybrid E190,Primary frozen engineering test,AVAILABLE,Existing frozen evidence
9,HYBRID,Hybrid E190,Secondary validation,AVAILABLE,Existing frozen evidence
9,HYBRID,Hybrid E190,Deferred validation,AVAILABLE,Existing frozen evidence
9,HYBRID,Hybrid E190,Mechanism validation,NOT APPLICABLE,No common bounded-gate/correction internal quantity
9,HYBRID,Hybrid E190,Efficiency validation,NOT AVAILABLE,No frozen same-hardware benchmark
9,HYBRID,Hybrid E190,Model-based localization,NOT RUN,Frozen official dependency unavailable
10,BOUNDED,Bounded E25,Primary validation,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Primary frozen engineering test,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Secondary validation,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Deferred validation,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Mechanism validation,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Efficiency validation,AVAILABLE,Existing frozen evidence
10,BOUNDED,Bounded E25,Model-based localization,NOT RUN,Frozen official dependency unavailable
